Tweet,GT Target,GT Stance,Mapped Target
"In fact , most murderers feel they most likely will never be put to death .",death penalty,NONE,death penalty
They were prison guards and inmates .,death penalty,NONE,death penalty
I feel murderers should be executed the first time because chances are they will come out of prison and kill another innocent person again .,death penalty,FAVOR,death penalty
"Source : Gary Johnson , Seven Principles of Good Government , 2012 [ Editor 's Note : Gov. Johnson reportedly first publicly announced his opposition to the death penalty at a Jan. 16 , 2002 news conference following his State of the State speech to the New Mexico State Legislature where he said in part : "" I have to come to believe that the death penalty as a public policy is flawed â¦ I believe that this country has put innocent people to death and that in the future this country will put innocent people to death . """,death penalty,AGAINST,death penalty
"Fairness in capital cases requires , above all , competent counsel for the defendant .",death penalty,NONE,death penalty
The study also reviewed 14 nations who abolished the death penalty .,death penalty,NONE,death penalty
Some may never recover .,death penalty,NONE,death penalty
Innocent people are wrongly executed .,death penalty,AGAINST,death penalty
"Thus , there is a better chance that he will not break and enter in the first place .",death penalty,FAVOR,death penalty
They do nât have the money to pay for good defense .,death penalty,AGAINST,school uniforms
To execute an innocent person is morally reprehensible ; this is a risk we can not take .,death penalty,AGAINST,death penalty
There is no way one can tell whether the death penalty deters murderers from killing .,death penalty,AGAINST,death penalty
"Following a charge of guilty , the next phase of the trial is the penalty trial .",death penalty,NONE,death penalty
This prejudicial distribution should be a moral outrage to every American . â,death penalty,NONE,death penalty
"This argument for continuation of the death penalty is most likely a deterrent , but it has failed as a deterrent .",death penalty,AGAINST,death penalty
"[ It ] combines the costliest parts of both punishments : lengthy and complicated death penalty trials , followed by incarceration for life ... Everything that is needed for an ordinary trial is needed for a death penalty case , only more so : â¢ More pre-trial time ... â¢ More experts ... â¢ Twice as many attorneys ... â¢ Two trials instead of one will be conducted : one for guilt and one for punishment .",death penalty,AGAINST,death penalty
"In fact , some criminologists , such as William Bowers of Northeastern University , maintain that the death penalty has the opposite effect : that is , society is brutalized by the use of the death penalty , and this increases the likelihood of more murder .",death penalty,AGAINST,death penalty
It has been proven these killers do it again and again .,death penalty,FAVOR,death penalty
Deterrence is not altogether decisive for me either .,death penalty,NONE,death penalty
It creates another form of crime deterrent .,death penalty,FAVOR,death penalty
"If the sentence makes it past all of the reviews , the inmate sentence is set in stone barring involvement of the President .",death penalty,NONE,death penalty
"If there is no death penalty in your state , and a criminal kills someone , it is because he felt he could get out in 10 years or less from prison .",death penalty,FAVOR,death penalty
The laws today are too lenient .,death penalty,NONE,gun control
When a criminal does an act to fulfill his selfish motives resulting into personal gains then the equilibrium of justice in society is disturbed .,death penalty,NONE,death penalty
Congress also enacted and expanded federal death penalty statutes for peacetime espionage by military personnel and for a vast range of categories of murder .,death penalty,NONE,death penalty
Privacy Policy Do not show again .,death penalty,NONE,gun control
Legal vengeance solidifies social solidarity against law breakers and is the alternative to the private revenge of those who feel harmed .,death penalty,FAVOR,death penalty
"Abolitionists may contend that the death penalty is inherently immoral because governments should never take human life , no matter what the provocation .",death penalty,AGAINST,death penalty
"Corrections personnel involved in executions , like our military , frequently suffer PTSD from having to kill .",death penalty,AGAINST,death penalty
"As you may have read in the arguments , the death penalty help to curtail future murderers , thus , we can save more lives .",death penalty,FAVOR,death penalty
"In some states , the judge does not have to follow jury recommendation , though in most he or she does .",death penalty,NONE,death penalty
"He â defended â himself in prison interviews by blaming pornography for causing his uncontrollable teenage libido , and for causing him to think of women as objects and not humans .",death penalty,NONE,marijuana legalization
But we need more states to enforce the death penalty .,death penalty,FAVOR,death penalty
The absence of death penalty is synonymous to crime rate increase .,death penalty,FAVOR,death penalty
Death is one penalty which makes error irreversible and the chance of error is inescapable when based on human judgment .,death penalty,AGAINST,cloning
"This is retribution , not to be confused with revenge , which is guided by a different motive .",death penalty,FAVOR,death penalty
He will never write a list about Ted Nugent .,death penalty,NONE,death penalty
As we said in Confronting the Culture of Violence : ' We can not teach that killing is wrong by killing . ',death penalty,AGAINST,death penalty
He was unconscious and unable to breathe for several minutes while the last drug âs tube was changed .,death penalty,AGAINST,death penalty
"These victims had kids and spouses , but instead of sympathy for them , sympathy shifted to Tookie .",death penalty,NONE,death penalty
"Today , there are many pros and cons to this death penalty issues .",death penalty,NONE,cloning
"As a matter of fact , most people in the U.S. today are in favor of it .",death penalty,FAVOR,death penalty
Yet his death did not go as planned .,death penalty,NONE,death penalty
"Just because someone 's conviction is overturned years later and the prosecutor decides not to retry him , does not mean he is actually innocent .",death penalty,NONE,death penalty
Death penalty is a form of revenge .,death penalty,AGAINST,death penalty
It is important to send a message to society that striking back at your enemy purely for revenge will always make matters worse .,death penalty,NONE,gun control
A recent study by Columbia University Law School found that two thirds of all capital trials contained serious errors .,death penalty,AGAINST,death penalty
"Yet we believe that we are called to seek a higher road even while punishing the guilty , for example through long and in some cases life-long incarceration , so that the healing of all can ultimately take place .",death penalty,AGAINST,death penalty
But it requires that the condemned breathe deeply .,death penalty,NONE,death penalty
"With the time , cost , and personnel requirements of a criminal case , there really is n't much of a choice .",death penalty,NONE,death penalty
How can we contend that we provide equal justice under the law when we do not provide adequate representation to the poor in cases where a life hangs in the balance ?,death penalty,AGAINST,death penalty
Crime was more common at that time than it is now .,death penalty,AGAINST,death penalty
There is considerable evidence that many mistakes have been made in sentencing people to death .,death penalty,AGAINST,death penalty
Even the perpetrators should be given this privilege .,death penalty,NONE,death penalty
Cost Comparison A cost comparison between Texas and Connecticut regarding the death penalty .,death penalty,NONE,death penalty
"Starting with selecting the trial jury , murder trials take far longer when the ultimate penalty is involved .",death penalty,NONE,death penalty
The Death Penalty Appeals Process Provides information on how to appeal a death penalty in Alabama .,death penalty,NONE,death penalty
"I understand , and certainly for people who are mentally incapacitated who do n't know what they 're doing or what 's happening to them â I think people have been executed who were not even aware of what was going on , and that 's not something that a civilized nation should be engaged in .",death penalty,AGAINST,death penalty
"Unfortunately , crimes like murder , rape and assault are committed by perpetrators who have no regard for life and property of others .",death penalty,FAVOR,gun control
Increasing reliance on the death penalty diminishes all of us and is a sign of growing disrespect for human life .,death penalty,AGAINST,death penalty
"It has to do with the endless appeals , additional required procedures , and legal wrangling that drag the process out .",death penalty,AGAINST,death penalty
Mentally ill people are executed .,death penalty,NONE,death penalty
"I understand the eye-for-an-eye , tooth-for-a-tooth mentality but , realistically public policy should have room for mistakes .",death penalty,AGAINST,death penalty
I think in most cases you 'll find that the murder was committed under severe drug and alcohol abuse . ,death penalty,AGAINST,death penalty
One is the release of some highly publicized studies that show a number of innocents had been put to death .,death penalty,AGAINST,death penalty
Criminals usually are looked down upon by society .,death penalty,NONE,death penalty
The death penalty is applied at random .,death penalty,AGAINST,death penalty
Most people do n't realize that carrying out one death sentence costs 2-5 times more than keeping that same criminal in prison for the rest of his life .,death penalty,AGAINST,death penalty
X WE WORKED HARD FOR YOU THIS ELECTION SEASON .,death penalty,NONE,abortion
" Juror comprehension of the law â¦ is mediocre .	",death penalty,NONE,death penalty
The death penalty puts innocent lives at risk .,death penalty,AGAINST,death penalty
We agree that much more must be done by the religious community and by society at large to solace and care for the grieving families of the victims of violent crime .,death penalty,NONE,death penalty
"We build bridges , knowing that statistically some workers will be killed during construction ; we take great precautions to reduce the number of unintended fatalities .",death penalty,NONE,nuclear energy
"She had already killed the fourth one , and served a prison sentence for murder , and she got out of prison early .",death penalty,FAVOR,death penalty
There is no reason to place the mental health of our corrections workers at risk simply to pursue vengeance .,death penalty,AGAINST,death penalty
Famous Cases Provides information on some of the most famous capital punishment cases in the US .,death penalty,NONE,death penalty
It 's because they 've never had to do it .,death penalty,NONE,gun control
"I heard on the news last month , February 2000 , where a 62 year-old grandmother , Betty Beets , was pleading for her life because she was on death row and was going to be executed .",death penalty,NONE,death penalty
Millions have already been killed and will be killed every year .,death penalty,NONE,gun control
Even the U.S. Supreme Court has rejected the Eight Amendment challenge which stated that the drug used to render the criminal coma-like unconscious before injecting the lethal drug is not capable to do so completely .,death penalty,AGAINST,death penalty
States that have death penalty laws do not have lower crime rates or murder rates than states without such laws .,death penalty,AGAINST,gun control
The guidelines in the AMA Code of Medical Ethics address physician participation in executions involving lethal injection .,death penalty,NONE,death penalty
"Do you think they 'd rather suffer the humiliation of lifelong prison or be  martyred "" by a death sentence ?",death penalty,AGAINST,death penalty
"So what we can not help but let Nature do , we ought not to force on others for any reason .",death penalty,AGAINST,cloning
One of the executions that I had to preside over was one of only twelve women executed in modern times .,death penalty,NONE,death penalty
It 's not unusual for a prisoner to be on death row for 15-20 years .,death penalty,NONE,death penalty
Do we really have the resources to waste ?,death penalty,NONE,nuclear energy
But the person he has killed no longer has a part to play in this .,death penalty,NONE,death penalty
Even most supporters of the death penalty now place little or no weight on deterrence as a serious justification for its continued use .,death penalty,AGAINST,death penalty
Yet it is the clear teaching of our traditions that this pain and suffering can not be healed simply through the retribution of capital punishment or by vengeance .,death penalty,AGAINST,death penalty
Archived Notices ( archived after 30 days ) Last updated on 10/27/2016 10:59:36 AM PST Please enter a valid email address to continue .,death penalty,NONE,marijuana legalization
The thought of agreeing to kill someone even influences some jury members to acquit rather than risk the death .,death penalty,AGAINST,death penalty
There is no fear of death for him .,death penalty,NONE,gun control
"Today , one of the most debated issues in the Criminal Justice System is the issue of capital punishment or the death penalty .",death penalty,NONE,death penalty
One of the reasons is America 's continued use of the death penalty .,death penalty,NONE,death penalty
Our society has nonetheless steadily moved to more humane methods of carrying out capital punishment . ,death penalty,FAVOR,death penalty
"However , executions do not help these people heal nor do they end their pain ; the extended process prior to executions prolongs the agony of the family .",death penalty,AGAINST,death penalty
Freed from Death Row An article discussing the lives of those released from death row .,death penalty,NONE,death penalty
This research showed that seven had committed another murder .,death penalty,NONE,death penalty
In 2000 a fiscal impact summary from the Oregon Department of Administrative Services stated that the Oregon Judicial Department alone would save $ 2.3 million annually if the death penalty were eliminated .,death penalty,AGAINST,death penalty
There are several documented cases where DNA testing showed that innocent people were put to death by the government .,death penalty,AGAINST,death penalty
You need special authority to justify taking the life of a human being .,death penalty,AGAINST,abortion
"At first , I felt very sorry for her , but after doing research on her , I learned she had five husbands .",death penalty,NONE,abortion
"Such a situation would lead to more people walking around with untreated , undiagnosed , and undisclosed illnesses ; these people would not be on the list and would be able to buy guns .",gun control,AGAINST,gun control
"To actually buy a gun , customers have to show proof of honest income , provide references , pass a criminal background check , prove any military duties were completed with honor , and be fingerprinted and photographed .",gun control,NONE,gun control
"Just to name a few , many agree that we all should have the right to access clean water , good food , peacefully assemble , speak without fear , practice religion ( as long as others are not affected negatively ) ( and , at least to some of you , maybe even be helped or taken care of when necessary ) .",gun control,NONE,abortion
My bet is that you ca nât .,gun control,NONE,gun control
"Lithuania has one of the world 's lowest gun ownership rates ( 0.7 guns per 100 people ) but its suicide rate ( by any method ) was 45.06 per 100,000 people in 1999 , the highest suicide rate among 71 countries with available information .",gun control,AGAINST,gun control
You misread what I said it that section .,gun control,NONE,nuclear energy
"Japan has a low gun ownership rate at 0.6 guns per 100 people and a high suicide rate of 18.41 suicides per 100,000 people in 1997 ( ranking it 11 out of 71 countries ) .",gun control,NONE,gun control
"When high-capacity magazines were used in mass shootings , the death rate rose 63 % and the injury rate rose 156 % .",gun control,FAVOR,gun control
"Ultimately , those who promote this argument are just illustrating the need for federal action on the gun problem in the United States .",gun control,NONE,marijuana legalization
Violent video games are a fact of life across the developed world and the idea that we will change the levels of violence within our society by altering our media consumption will only lead us to focusing on the wrong thing .,gun control,NONE,Unrelated
Here are ten of the most frequently discussed arguments on both sides of the issue .,gun control,NONE,gun control
It is the boundary which truly makes other rights possible .,gun control,NONE,abortion
"Our amazing community consists of 2,461 elementary and middle schools ( 29.4 % ) , 4,160 high schools ( 49.7 % ) , and 1,748 colleges and universities ( 20.9 % ) in all 50 states and 87 countries .",gun control,NONE,school uniforms
I also do NOT believe that the entertainment media is solidly linked to violence .,gun control,NONE,death penalty
Mandating the registration of the mentally ill while prohibiting the registration of dangerous weapons is simply hypocritical and indicative of a person who is willing to sacrifice the freedom of others to gain a little more personal convenience .,gun control,AGAINST,gun control
The U.K. has gone the farthest in restricting the private ownership of guns .,gun control,NONE,gun control
The group says stronger laws are the answer to protecting children .,gun control,FAVOR,gun control
What are you going to do when someone breaks into your home ?,gun control,AGAINST,gun control
â Legitimate use of violence can only be that which is required in self-defense . â,gun control,NONE,gun control
"The United States government is the most powerful entity on the planet ; they do nât just have guns , but also tanks , jets , satellites , and nuclear weapons .",gun control,NONE,gun control
"In other words , it happened a single time in thirty years .",gun control,NONE,death penalty
"As progressives , we would do well to follow his example .",gun control,NONE,Bernie Sanders
"Justice Antonin Scalia , LLB , in the June 26 , 2008 District of Columbia et al. v. Heller US Supreme Court majority opinion syllabus stated , "" The Second Amendment protects an individual right to possess a firearm unconnected with service in a militia , and to use that arm for traditionally lawful purposes , such as self-defense within the home . """,gun control,AGAINST,gun control
Gun control laws are racist .,gun control,AGAINST,gun control
"Mexico has some of the strictest gun control laws in the world and yet , in 2012 , Mexico had 11,309 gun murders ( 9.97 gun homicides per 100,000 people ) compared to the United States that had 9,146 gun homicides ( 2.97 per 100,000 people ) .",gun control,AGAINST,gun control
"â Since car accidents kill more people every year then guns , why do nât we ban cars ? â",gun control,AGAINST,gun control
"Adam Winkler , MA , JD , UCLA Constitutional Law Professor , stated "" The KKK began as a gun-control organization .",gun control,AGAINST,gun control
"Before the civil war , slavery was a part of our cultural heritage that had led to misery among many within our population .",gun control,NONE,abortion
"Some people try to sidestep this issue by wanting things such as a stronger United Nations : essentially , a global government to keep the rest of the world in line .",gun control,NONE,nuclear energy
"In this crossfire , bullets would likely hit civilians ( imagine a room filled with a crowd and three people shooting at each other ) and the casualty count would increase .",gun control,FAVOR,gun control
Most guns are excluded from the Act .,gun control,NONE,abortion
Gun control laws would reduce the societal costs associated with gun violence .,gun control,FAVOR,gun control
"Of course , this does nât mean that you definitely wo nât get shot in Massachusetts â just as it âs entirely possible that you âll live ninety years in Arizona and never experience the slightest harassment .",gun control,NONE,death penalty
The supremacy of federal laws over state and local laws would extend the extremely powerful federal gun law over all of the others and render them moot .,gun control,AGAINST,abortion
Gun enthusiasts understand the benefit of large ammo feeders and wish to defend them because they recognize the advantage that such feeders give .,gun control,AGAINST,gun control
"In the quote above , you hear the NRA proclaim its support for gun-free zones while , in modern quotes , you hear them deride the policy as the cause of massacres .",gun control,NONE,gun control
Pro-gun control advocates believe tougher gun laws could have potentially prevented these crimes .,gun control,FAVOR,gun control
Legally owned guns are frequently stolen and used by criminals .,gun control,FAVOR,gun control
"At the most charitable , guns can be described as existing to allow good people to defend themselves from bad people by threatening them with death .",gun control,NONE,gun control
"Journalist John Stossel explained , "" Criminals do n't obey the law â¦ Without the fear of retaliation from victims who might be packing heat , criminals in possession of these [ illegal ] weapons now have a much easier job ... As the saying goes , ' If guns are outlawed , only outlaws will have guns . ' """,gun control,AGAINST,gun control
It is a terrible irony that the very same gun enthusiasts â many of whom see gun registration to be in infringement on personal liberty and fear an oppressive federal government â wish to impose what they fear onto others .,gun control,FAVOR,gun control
"In Columbine High School , there was an armed guard .",gun control,NONE,gun control
Gun control laws give too much power to the government and may result in government tyranny and the government taking away all guns from citizens .,gun control,AGAINST,gun control
"Those who love guns are particularly willing to fall into this solution , as it absolves them of having to deal with the gun problems within society and lets them blame gun violence on things which they do nât care about .",gun control,NONE,gun control
Violent crime goes down when more people legally carry guns : Right-to-carry laws have been on the rise in the U.S. since the early 1990s .,gun control,AGAINST,gun control
"Guerrilla forces from these nations , along with various criminal & resistance fighter alike ( often from third world countries ) resisted often better equipped militaries , & succeeded .",gun control,NONE,gun control
"In supporting cutting funding for police officers , the right wing reduces the police âs ability to protect everybody in society ; response times are increased and coverage is reduced .",gun control,NONE,gun control
ProCon.org is a 501c3 nonprofit public charity that survives on your donations and needs your help .,gun control,NONE,abortion
"Both Switzerland and Finland require gun owners to acquire licenses and pass background checks that include mental and criminal records , among other restrictions and requirements .",gun control,FAVOR,gun control
"Jonathan Lowy , Director of Legal Action Project at the Brady Center to Prevent Gun Violence , stated , "" These are weapons that will shred your venison before you eat it , or go through the walls of your apartment when you âre trying to defend yourself â¦ [ they are ] made for mass killing , but not useful for law-abiding citizens . """,gun control,FAVOR,gun control
"According to the NRA , â Through 2010 , the nation âs murder rate has decreased 52 percent to a 47-year low , and the total violent crime rate has decreased 48 percent to a 37-year low . â",gun control,AGAINST,gun control
A person who wants to kill him/herself is unlikely to commit suicide with poison or a knife when a gun is unavailable .,gun control,FAVOR,gun control
But there is a right we often forget ; the right to defense of self & others .,gun control,AGAINST,gun control
Or join the community by taking our 2-minute survey .,gun control,NONE,nuclear energy
"Banning high-capacity magazines will not necessarily deter crime because even small gun magazines can be changed in seconds.The "" gun show loophole "" is virtually nonexistent because commercial dealers , who sell the majority of guns at shows and elsewhere , are bound by strict federal laws .",gun control,AGAINST,Joe Biden
"The guns came from all 50 states , and more than half came from outside of Illinois .",gun control,NONE,death penalty
"In 2007 Switzerland ranked number 3 in international gun ownership rates with 45.7 guns per 100 people ( about 3,400,000 guns total ) .",gun control,NONE,gun control
"The NRA 's Wayne LaPierre stated , "" if you look at why our Founding Fathers put it [ the Second Amendment ] there , they had lived under the tyranny of King George and they wanted to make sure that these free people in this new country would never be subjugated again and have to live under tyranny . """,gun control,FAVOR,gun control
"The NRA argues that research shows â assault weapons , â or those certain semi-automatic guns designated in the ban , â have never been used in more than a small percentage of firearm-related violent crime . â",gun control,FAVOR,gun control
"Wayne LaPierre , Executive Vice President of the NRA , stated , "" The only thing that stops a bad guy with a gun is a good guy with a gun . """,gun control,AGAINST,gun control
We can not simply hope that their minions ( often military & law enforcement who obey ) to disobey .,gun control,NONE,gun control
"If we wanted to move beyond this , we âd have to expand the definition of who is mentally ill â no easy task â and even if we did , the government has had a difficult time getting mental illness data on individuals because many in the mental health treatment community strongly oppose these types of controls .",gun control,NONE,gun control
"â Enough is enough , â Obama said .",gun control,NONE,gun control
There are so many misunderstandings that it âs hard to know where to begin .,gun control,NONE,cloning
"In 2014 , it was over 1100 .",gun control,NONE,death penalty
"â Self-defense is a fundamental right , â says the National Rifle Association 's Institute for Legislative Action .",gun control,FAVOR,gun control
"For example : Fidel Castro , the Cuban dictator , may have committed vicious crimes against his political enemies , but he also supports universal healthcare and a strong public health system .",gun control,NONE,abortion
"This conversation is long overdue , and will hopefully result in some sane gun regulations being enacted .",gun control,FAVOR,gun control
More gun control laws would reduce gun deaths .,gun control,FAVOR,minimum wage
But plenty of less-fortunate people who tried to get involved have only wound up adding to the casualty list .,gun control,NONE,death penalty
He ultimately attempted suicide-by-cop and then killed himself .,gun control,NONE,death penalty
The pros and cons of gun control come to the forefront of debate in the wake of mass shootings that continue to pop up throughout the nation .,gun control,NONE,gun control
True power balance MUST be maintained .,gun control,NONE,nuclear energy
Gun ownership is an American tradition older than the country itself and is protected by the Second Amendment ; more gun control laws would infringe upon the right to bear arms .,gun control,AGAINST,gun control
That solution does nât exist .,gun control,NONE,gun control
"In order to do this , these people have asserted that it is the mentally ill who are responsible for violence , not the weapons , and that simply registering the mentally ill will stop gun violence .",gun control,AGAINST,gun control
"An editorial published in the June 1985 American Journal of Public Health noted , "" gun-inflicted deaths [ often ] ensue from impromptu arguments and fights ; in the US , two-thirds of the 7,900 deaths in 1981 involving arguments and brawls were caused by guns . """,gun control,FAVOR,death penalty
"Despite Chicago 's ban on gun shops , shooting ranges , assault weapons , and high capacity magazines , in 2014 Chicago had 2,089 shooting victims including at least 390 murders .",gun control,AGAINST,gun control
"The FBI found that in 2013 arguments ( such as romantic triangles , brawls fueled by alcohol or drugs , and arguments over money ) resulted in 1,962 gun deaths ( 59.9 % of the total ) .",gun control,FAVOR,death penalty
"Well , I am an EXTREMELY pro-self defense & right to keep & bear arms person ( I do nât consider myself â pro gun â for reasons explained in a video called â I am NOT Pro-Gun â , & yet , I do nât use these arguments ) .",gun control,NONE,gun control
The Federal Firearms Act of 1938 made it illegal to sell guns to certain people ( including convicted felons ) and required federal firearms licensees ( FFLs ; people who are licensed by the federal government to sell firearms ) to maintain customer records .,gun control,NONE,gun control
"This argument is probably the best one in the arsenal of the gun enthusiast , but it too , is not really a good reason to obstruct gun control .",gun control,NONE,gun control
"When they say this , you should simply tell them that not every gun owner is rational and that unrestricted gun ownership is the micro-equivalent to letting every country have nukes .",gun control,FAVOR,gun control
"The ban expired on Sep. 13 , 2004 and was not renewed due in part to NRA lobbying efforts .",gun control,NONE,gun control
There is a good reason why guns have become the mass murderer âs weapon of choice ; they are simply the most efficient way of getting the job done .,gun control,FAVOR,gun control
"However , not only do many of the individuals who use this argument have little to no law enforcement or military experience , & often do nât have much knowledge , or at least do nât think deeply think about history .",gun control,NONE,gun control
"According to the Law Center to Prevent Gun Violence and the National Physicians Alliance , states with the highest concentration of guns have nine times the amount of accidental gun deaths and "" 89 % of unintentional shooting deaths of children occur in the home â and most of these deaths occur when children are playing with a loaded gun in their parents â absence . """,gun control,FAVOR,gun control
"Or even BETTER why are nât guns and ammo provided free of charge , since its Divinely inalienable ?",gun control,NONE,gun control
Readers are advised to consult a health professional about any issue regarding their health and well-being .,gun control,NONE,school uniforms
You may believe you have to right the speak .,gun control,NONE,death penalty
"Once the police arrive , it would be difficult to determine who the original shooter was , and it is also likely that the police may end up shooting the people who did nât start the gunfight .",gun control,FAVOR,gun control
"We found that across developed countries , where guns are more available , there are more homicides . """,gun control,FAVOR,gun control
"The United States , categorized as having "" permissive "" firearm regulation by GunPolicy.org , ranked first in international gun ownership rates with 88.8 guns per 100 people ( about 270,000,000 guns total ) .",gun control,NONE,gun control
"Strict gun control laws do not work in Mexico , and will not work in the United States .",gun control,AGAINST,abortion
"Similar arguments can be made on other divisive issues ( e.g. for folks opposed to abortion , would nât it be more effective and less divisive to focus on improved family planning and availability of birth control ?",gun control,NONE,abortion
They could not defend themselves against a cool breeze much less a government gone bad .,gun control,NONE,gun control
Gun control laws would prevent citizens from protecting themselves from foreign invaders .,gun control,AGAINST,gun control
"â The 2nd Amendment guarantees the right to bear arms , thus gun control measures are unconstitutional . â",gun control,AGAINST,gun control
"Background checks will help keep guns out of the hands of people who should not have them : Americans for Responsible Solutions , supported by former U.S. Rep. Gabrielle Giffords and her astronaut husband Mark Kelly , advocates for background checks to prevent criminals , domestic abusers , and seriously mentally ill people from buying guns .",gun control,FAVOR,gun control
"State militias had the right to bear arms , but individual , unattached Americans had no such right â this distinction in the difference between the 2ndAmendment being a collective right or an individual right .",gun control,FAVOR,gun control
Opponents say that the Second Amendment protects an individual âs right to own guns ; that guns are needed for self-defense from threats ranging from local criminals to foreign invaders ; and that gun ownership deters crime rather than causes more crime .,gun control,FAVOR,gun control
"In the aftermath of the Sandy Hook shooting , many politicians have begun to pivot towards the idea that gun control needs to be strengthened â this effort is being led by Democrats , but even many Republicans have begun to buck their longstanding deference to the NRA and gun lobbyists .",gun control,FAVOR,gun control
"â A well regulated militia being necessary to the security of a free state , the right of the people to keep and bear arms shall not be infringed . â",gun control,AGAINST,gun control
All answers to reader questions are provided for informational purposes only .,gun control,NONE,death penalty
"Just ask people from Vietnam , Nicaragua , Iraq , & Afghanistan just to name a few .",gun control,NONE,Unrelated
The reticence to implement such restrictions demonstrated by those who make this argument proves that their argument is not true .,gun control,NONE,gun control
This free website helps millions of people like you get reliable nonpartisan research to empower your own informed discussions and voting decisions .,gun control,NONE,abortion
"Israel and Switzerland are the two model examples of developed countries that have high levels of gun ownership , yet low levels of gun crime .",gun control,AGAINST,gun control
"In 2011 , there were 13.7 million hunters 16 years old or older in the United States , and they spent $ 7.7 billion on guns , sights , ammunition , and other hunting equipment .",gun control,NONE,gun control
"Armed civilians are unlikely to stop crimes and are more likely to make dangerous situations , including mass shootings , more deadly .",gun control,FAVOR,gun control
56 % of all adults surveyed approve of assault weapon bans and 53 % of all adults surveyed approve of high-capacity magazine bans .,gun control,FAVOR,gun control
It is not easy for military or law enforcement units to keep fighting when they gain little to no progress for their hard work .,gun control,NONE,gun control
"As of yet , no gun enthusiast that I have talked to has accepted this suggestion , as they understand just how ridiculous their argument is .",gun control,NONE,gun control
"According to a Mar. 10 , 2016 Lancet study , most state-level gun control laws do not reduce firearm death rates , and , of 25 state laws , nine were associated with higher gun death rates .",gun control,AGAINST,gun control
"Final Note : Just because the registration of the mentally ill is a bad idea , this by no way means that our current mental health system is adequate .",gun control,NONE,gun control
"Besides , in my view , law enforcement officers and military personnel are just citizens granted permission and extra ( but not unlimited ) power by we , the average people .",gun control,NONE,gun control
"Widely supported gun bans do nât deter crime : The Federal Assault Weapons ban , signed by President Bill Clinton in 1994 , expired and has not had enough support to be renewed .",gun control,AGAINST,gun control
"The strange thing about rights , is that , they are actually boundaries .",gun control,NONE,abortion
"David Frum , Daily Beast and CNN contributor , stated , "" American children under age 15 were nine times more likely to die of a gun accident than children in other advanced wealthy countries â¦ About 200 Americans go to emergency rooms every day with gunshot wounds . """,gun control,FAVOR,gun control
"America 's pervasive gun culture stems in part from its colonial history , revolutionary roots , frontier expansion , and the Second Amendment , which states : "" A well regulated militia , being necessary to the security of a free State , the right of the people to keep and bear Arms , shall not be infringed . """,gun control,NONE,gun control
"It always has , & always will .",gun control,NONE,death penalty
"Interestingly , this turned out to be true not just for the twenty-six developed countries analyzed , but on a State-to-State level too .",gun control,NONE,minimum wage
â Violence is nât due to guns ; it is due to culture and violence in the media/entertainment industry . â,gun control,AGAINST,gun control
Guns do n't kill people ; people kill people .,gun control,AGAINST,gun control
"A Pew Foundation report found that 79 % of male gun owners and 80 % of female gun owners said owning a gun made them feel safer , and 64 % of people living in a home in which someone else owns a gun felt safer .",gun control,FAVOR,gun control
Federal and State Gun Laws in the 2000s Protection of Lawful Commerce in Arms Act and Child Safety Lock Act of 2005 was enacted on Oct. 26 by President George W. Bush and gives broad civil liability immunity to firearms manufacturers so they can not be sued by a gun death victim 's family .,gun control,NONE,gun control
I have since my youth considered the right to keep and bear arms a protection afforded to the citizens of the USA in order to protect themselves from tyrants in government .,gun control,AGAINST,gun control
"He was younger , faster , stronger , and armed .",gun control,NONE,gun control
"According to the United States Code , a "" militia "" is composed of all "" able-bodied males at least 17 years of age â¦ under 45 years of age who are , or who have made a declaration of intention to become citizens of the United States and of female citizens of the United States who are members of the National Guard . """,gun control,NONE,gun control
31 states do not ban convicted misdemeanor stalkers from owning guns and 41 states do not force convicted domestic abusers from relinquishing guns they already own .,gun control,FAVOR,gun control
"Michael Waldman , JD , President of the Brennan Center for Justice at the New York University School of Law , stated there is nothing about an individual right to bear arms in the notes about the Second Amendment when it was being drafted , discussed , or ratified ; the US Supreme Court declined to rule in favor of the individual right four times between 1876 and 1939 ; and all law articles on the Second Amendment from 1888 to 1959 stated that an individual right was not guaranteed .",gun control,FAVOR,gun control
Policies should be judged independent of the people who support them and a good policy is not automatically bad because a bad person once supported it .,gun control,NONE,cloning
Many restriction on who can own firearms ( ex .,gun control,NONE,gun control
"Our founding fathers understood this and , as I previously explained , it is the gun enthusiasts who have perverted the 2nd Amendment to justify their fantasies of rebellion .",gun control,FAVOR,gun control
Vote Now Those who are for greater gun control see three basic pros to new laws : 1 .,gun control,NONE,abortion
"In an interview , James Jacobs , director of Center for Research in Crime and Justice at New York University School of Law , a professor of constitutional law , and the author of Can Gun Control Work ?",gun control,NONE,death penalty
"According to the left wingers , you should be able to defend yourself that long .",gun control,AGAINST,gun control
"Collective v. Individual Right : Guns and the Supreme Court Until 2008 , the Supreme Court repeatedly upheld a collective right ( that the right to own guns is for the purpose of maintaining a militia ) view of the Second Amendment , concluding that the states may form militias and regulate guns .",gun control,NONE,gun control
"A May 9 , 2013 48 % of convicted felons surveyed admitted that they avoided committing crimes when they knew the victim was armed with a gun .",gun control,AGAINST,gun control
You should consult with your doctor before undertaking any medical or nutritional course of action .,gun control,NONE,abortion
