Tweet,GT Target,GT Stance,Mapped Target,Generated Targets,Best Gen Target
"@hoaghealth Your own doctor, Dr. Jeff Barke, is now infamous for not wearing a mask and telling anyone who will listen to his numerous media statements to also not wear a mask. Why does he still have privileges at Hoag? #NewportBeach #HuntingtonBeach #Coronavirus",face masks,FAVOR,face masks,"['mask', 'coronavirus', 'healthcare', 'medical records', 'medical confidentiality', 'medical credentials']",mask
"Went to IKEA today in Cardiff. Superb job by all staff there, incredibly polite and in control. They have ensured there's hand sanitizer stations all the way around. We wore our masks to ensure the safety of staff and customers #IKEA ",face masks,FAVOR,face masks,"['hand sanitizer', 'masks', 'hand-over', 'handwriting recognition', 'hand writing recognition', 'computer-mediated communication', 'handwritten recognition']",masks
@DrEricDing I flew a few days ago. It was made crystal clear masks are be worn AT ALL TIMES in airport and on plane. Before we boarded @SouthwestAir nicely announced 'don't even think about not complying or you won't be flying'. To have the privelage to fly we must comply.,face masks,FAVOR,gun control,"['aircraft', 'security']",security
Iâm noticing itâs mostly the childless crowd who are anti-mask. Maybe that attitude and the fact youâre childless are related? Stop being selfish. #TuesdayThoughtNuggets,face masks,FAVOR,abortion,"['childless', 'anti-mask', 'selfishness', 'nuggets', 'child-less', 'self-determination theory', 'selfsatisfaction', 'self worth', 'selflessness', 'parent-child', 'self*', 'selfhood', 'self']",parent-child
"@FitzTrubey @ajc @CherokeeSchools start Aug 3 with masks merely âencouragedâ. Irresponsible &amp; reckless to the staff, teachers, students &amp; all their families. Social distancing in middle/high schools is not even practical in classrooms or hallways. #ScienceMatters #FactsMatter",face masks,FAVOR,school uniforms,['classroom'],classroom
@Cary_Elwes The only correct reply to the request from a loved to wear a mask is âas you wish.â,face masks,FAVOR,face masks,"['mask', 'design']",mask
Thank goodness Trump wasnât there to greet the astronauts after splashdown. Iâm sure he would have shown up with no mask! #SplashDown #SpaceX,face masks,FAVOR,marijuana legalization,['spacecraft'],spacecraft
"People say #COVID19 isn't a big deal ""Hey! The dead person was 78/96/99/67""

Nevermind the girl with the Double Lung Transplant, and the other young adults with LIFE LONG Ailments. These people cannot be ignored #CoronavirusPandemic",face masks,FAVOR,cloning,"['coronavirus', 'Pandemic', 'epidemiology', 'covariate', 'cervariate']",covariate
"@JenniferJokes @rocko470033 @parkhurstcards Masks help to reduce viral load. You still might get Covid but you wonât get severely sick. Countries (eg: :flag_for_Slovakia: , :flag_for_Japan: etc) with mandatory mask wearing report new cases but look at their number of deaths-very low. If weâre smart, we wonât need lockdowns. ",face masks,FAVOR,face masks,"['viral load', 'mask wearing', 'lockdown', 'health', 'virus management', 'viral vaccine', 'vibration reduction', 'vigilance', 'healthcare', 'vulnerable populations', 'vulnerability', 'videoconferencing', 'vick']",mask wearing
"@GOPLeader Republicans are refusing to wear masks. Coronavirus doesnât care about politics, how wealthy you are or who you chose to pray to.

Kev, when are you going to demand that fvckwit in our Oval Office gets off the golf course &amp; comes up with a plan?

#TrumpHasNoPlan",face masks,FAVOR,cloning,"['coronavirus', 'crisis informatics', 'civic intelligence', 'citizen science', 'crowdsourcing', 'civariate', 'covariate']",citizen science
"@amyisfedup Asthma...nope, don't buy it. My friend wears a mask EVERYWHERE and she has the worst asthma I've ever seen. She's hospitalized a few times a year for it. She will die of she gets Covid-19.",face masks,FAVOR,face masks,"['aphasia', 'mask', 'covid', 'hci', 'hmd', 'hcid', 'mild asthma', 'hvac']",mask
"Idc what you say, you're selfish if you refuse to wear a mask. This shouldn't be political. #MaskUp",face masks,FAVOR,face masks,['masking'],masking
Michigan is fining individuals 500$ for not wearing a mask in public. How do y'all feel about this? Curious because I am torn about being so forceful but agree that people should wear masks. #MaskOn,face masks,FAVOR,face masks,"['mask', 'mechanism design', 'public display']",mask
"Finally left the NYC area for a long weekend to Lake George. Couldnât believe how many people were not wearing masks in the village.
No one seemed to be observing social distancing.",face masks,FAVOR,face masks,"['masking', 'social distancing', 'crowdsourcing', 'civic engagement', 'crisis informatics', 'cscw', 'citizen science']",masking
@emzorbit @gracefulily27 I wonder why the northeast is doing so much better? Could it be that social distancing and wearing masks is a good strategy?,face masks,FAVOR,face masks,"['gracefulily', 'masking', 'social distancing', 'social masks', 'social media', 'social computing', 'social issues']",social masks
"@claudiamconwayy @KellyannePolls He mocked masks, infected people and did not listen.",face masks,FAVOR,face masks,"['masks', 'infected people', 'mashups', 'mosaic', 'museum', 'crowdsourcing', 'crisis informatics']",masks
@realDonaldTrump @Mike_Pence What a disaster of a group. Not everyone is wearing masks. What are you people thinking?! Lead by example.,face masks,FAVOR,face masks,"['masks', 'group']",masks
"@TheDemCoalition @realDonaldTrump One bill, only to address, health, ppe, hoodies, testing, education, mandatory masks, and unemployment. Nothing added, just deal with this, right now, and close the hell down, except for essential workers!!!  #SaferAtHome",face masks,FAVOR,minimum wage,"['health ppe hoodies', 'education', 'masking', 'employment', 'healthcare', 'health insurance', 'health care', 'health workers', 'health and human factors', 'health informatics', 'health literacy', 'health education', 'health workforce', 'health technology', 'health services']",employment
"I just had my oxygen checked at the doctorâs office (with a mask on) and my oxygen was at 99. 

So yeah. ",face masks,FAVOR,face masks,"['oxygen', 'mask', 'blood pressure', 'blood oxygen', 'blood flow', 'blood circulation', 'blood-pressure', 'blood pump', 'blood supply', 'blood rate', 'blood clot', 'blood vessel', 'blood volume', 'blood sensor', 'blood filter', 'bloodpressure', 'flu']",mask
@GOPLeader Maybe you could educate your @gop congressmen and women to wear a mask @replouiegohmert was seen walking around Capitol without one and attended same meeting with rep. grijalva &amp; sat close to him without mask prior to his testing positive #gopkills.,face masks,FAVOR,face masks,"['mask', 'congressman', 'women', 'gopkills', 'health', 'education', 'wcag', 'wgcag', 'civic education', 'wider access']",mask
"For anyone claiming that fear is the killer and not covid: fear is an incentive for self preservation. Fear for others creates responsibility. It doesnât have to be negative. It also helps you be a mask wearing informed human. 
So yes I am afraid.  
#COVIDIOTS",face masks,FAVOR,school uniforms,"['self preservation', 'self-discipline', 'selfishness', 'security']",self-discipline
@GroveKilosdad73 @jcoralpark @realDonaldTrump Not to mention his mask is not properly worn.  Time to,face masks,FAVOR,face masks,"['realDonaldTrump', 'masking', 'politician']",masking
@bossmanomega22 @DeAnna4Congress Exactly a humanity issue! Thanks for recognizing that people need to put on mask to protect one another. This virus affects everybody differently.,face masks,FAVOR,face masks,"['virus', 'virus protection', 'human-computer interaction']",virus
"If you have enough $$ to buy a non-essential gadget from Best Buy, you have enough to buy a mask!! (V rough estimate but Iâd say ~60% of customers at Best Buy @ eaton centre were not wearing a mask :mask:) #COVID19 ",face masks,FAVOR,face masks,['mask mask'],mask mask
With 109 new #COVID19 cases in #Nashville our trend continues to drop in the right direction. Keep it up and,face masks,FAVOR,nuclear energy,"['coVID', 'covert channel', 'coverage', 'cooperative work', 'co-occurrence', 'coincidence', 'coj', 'cohesion', 'coherence', 'cohesive work', 'coupling', 'coefficient', 'coherent work', 'coll']",coefficient
"Saw 3 elderly women on their separate jogs this morning- good on you for focusing on cardiovascular health and doing weight-bearing activity, however it is all for naught if you are not wearing a mask",face masks,FAVOR,marijuana legalization,"['elderly', 'health', 'wearable', 'healthcare', 'eldercare', 'e-health', 'ehealth', 'health-care']",eldercare
"Just had a visit with my dentistâstaggered appts, masks, wiping down high touch surfaces, face shield + appropriate PPE, sx screen before and at visit along with temp check. The best you can do and they did a fab job. Dr John Wiggans in Hillcrest Plaza, Dallas. #BeSafe ",face masks,FAVOR,face masks,"['appts', 'face shield', 'pene sx', 'temp check', 'face mask', 'face wash', 'face protection', 'face dust', 'face cleaning', 'face painting', 'face-to-face', 'face face']",face face
"@LeChatNoire4 My friend, who is immune compromised, went into a Publix today. Publix stores in FL have a mask mandate. Shoppers wear a mask to get in &amp; then many remove them. She was accosted today by an anti-mask person. I don't know what the answer is but this has to stop.",face masks,FAVOR,face masks,"['mask mandate', 'anti-mask', 'masking', 'immunity', 'security']",masking
Not wearing a mask has replaced confederate flag shirts as the ultimate indicator of white trash.,face masks,FAVOR,nuclear energy,"['white trash', 'transgender', 'transparent', 'trans-national', 'trans union', 'transnational', 'tolerance', 'transformation', 'transcoding', 'transportation', 'transcultural', 'trans identity', 'translational', 'transforming culture']",transportation
"@JohnCornyn Shouldn't the person not speaking, @realdonaldtrump,  have a mask on?",face masks,FAVOR,face masks,"['trump', 'trump mask', 'trump tweets', ""trump's tweets""]",trump mask
"@brad_dickson My son teaches in Japan. They wear masks because they are a polite society. School closed asap in Feb. Did remote learning. But as of early June, back to in school learning due to so few cases. Masks work.",face masks,FAVOR,face masks,"['masks', 'remote learning', 'education', 'mashups', 'mixed reality', 'museum', 'mime', 'mape-making', 'mikinami', 'mte-learning']",masks
At a MEDICAL BUILDING this morning and as I walked throught the lobby for my appointment someone was getting their mail and not wearing an effing mask.,face masks,FAVOR,nuclear energy,"['medicine', 'bureaucracy', 'electronic mail', 'electronics', 'electrical mail', 'computer science', 'electromagnetism', 'electroencephalogram', 'electromyography', 'electrology', 'electrics']",electrics
"@cityoftoronto Maybe get a washable, reusable mask.",face masks,FAVOR,face masks,"['mask', 'reusable']",mask
"Some of ya'll couldn't dissect a frog in high school but you know more than health professionals about the Coronavirus!?!?
:man_facepalming_dark_skin_tone:
#COVID19",face masks,FAVOR,cloning,"['coronavirus', 'dark_skin_tone', 'covariate', 'cervariate']",covariate
Let it be known...if my #fat self can workout for an hour in a #mask the #Karens of this world can wear one for 15 minutes in a store!! #coronavirus #sundayvibes,face masks,FAVOR,face masks,"['mask', 'coronavirus', 'hvac', 'fat self', 'fat body', 'fat face', 'fat mask', 'fat fat self', 'hmd', 'fat ass', 'fat man', 'fat woman', 'fat head', 'fat human', 'fat lady']",mask
"Flock everyone not wearing a mask and not following directives from *real* public health officials.

You're stupid selfish a$sholes.

We're currently on track to  +230K deaths by November.
If everyone wore a mask, we are likely to save FORTY THOUSAND lives.",face masks,FAVOR,face masks,"['mask', 'public health', 'public safety', 'healthcare', 'health informatics', 'health policy']",mask
"@WCheesemaker @StephenKing No. Youâre missing the point. And from the way I phrased my statement I can understand why. I was attempting to point out masks work! They help stop the spread of disease. I should have stated it more clearly.
Iâm a scientist &amp; a big fan of masks- and science!! :relaxed:
",face masks,FAVOR,face masks,"['mask', 'science']",mask
"@realDonaldTrump The only Virus in the United States of America is #COVID19 also known as the #TrumpVirus named after the idiot that couldn't lead his way out of a brown paper bag, much less a country through a #pandemic 
Why? Because he's a #COVIDIOT that's why.",face masks,FAVOR,Donald Trump,"['trump', 'coVID19', 'pandemic', 'puppet', 'bipartite', 'bimatrix', 'bibboleth', 'bobobobot', 'bomatrix']",trump
"@ProjectLincoln I just said you must have masks. Some can say Lincoln Project, perhaps Wear A Damn Mask. They will fly off the shelves. #LincolnProject",face masks,FAVOR,face masks,"['lincoln', 'mask', 'lincoln project', 'lstm', 'llm', 'mashup', 'lm']",mask
@cleverkate I have been wondering what is the right approach. By saying nothing you are in turn approving a behavior. I was @Costco and a mom w/ a child and husband (both w/ masks on) wasn't wearing one. I politely said they have them for free when you come in. She was not amused,face masks,FAVOR,face masks,"['w/ masks', 'w/mask', 'wrist', 'w-mapping', 'wcag', 'wap', 'wimax', 'wifi', 'wlan', 'wfag', 'cscw', 'wcd', 'wwap']",w/ masks
"@TVNewsHQ @JesseBWatters Yes I have, but you don't see much of it because understand stay at home and social distancing.

Instead of no mask shouting in each others face.  

Just saying",face masks,FAVOR,stay at home orders,"['social distancing', 'home', 'social media', 'social computing', 'social networking sites', 'social software']",home
"@Timewalkproject @BBCNormanS @BBCNews A lot less palaver than being hooked up to a life support machine! 
#WearAMask ",face masks,FAVOR,face masks,"['life support', 'mask', 'bluetooth', 'mhealth', 'mvcc']",mask
"@JD69486354 @DrsuzanneH The scary part of this is how many people will BELIEVE THIS TO BE TRUE.  
#WearAMask",face masks,FAVOR,Atheism,"['true love', 'true faith', 'true story']",true faith
People tweeting from their smart phones about how masks are a form of government  control is hilarious to me.,face masks,FAVOR,gun control,"['smart phones', 'masking', 'government control', 'government policy']",government control
@MeaningsOfNames @DrLesterColl @Delta They were headed to the non mask wearing state of GA.  Their loser @GovKemp would surely be disappointed if they wore one. #shameonyou #GovKemp,face masks,FAVOR,marijuana legalization,"['g', 'state']",state
Okay Trump Followers â Your messiah has spoken and asked you wear a mask. Youâre good now!,face masks,FAVOR,Donald Trump,"['trump', 'fake news', 'fake journalism', 'fake government', 'fake media', 'fake tv', 'fake television', 'fake content', 'fake video', 'fake web', 'fake newspapers', 'fake networks', 'fake websites', 'fake ratings', 'fake elections', 'fake reporting']",trump
"If your âdoctorâ says u canât wear a mask, u should at least wear a face shield for your safety...unless youâre full of shit. #COVIDã¼19",face masks,FAVOR,face masks,"['face shield', 'face mask', 'face protection', 'face detection', 'face recognition', 'face-to-face communication', 'face tracking', 'face authentication', 'face fingerprinting', 'face image recognition', 'mask mask', 'mask protection', 'head-']",face mask
"In today's Yelling At People Who Don't Wear A Mask: on a bus of 13 passengers+driver, only 5 in masks, I barked ""Put on a mask, are y'all special?!"" - Got dirty looks and no reaction.",face masks,FAVOR,face masks,"['mask', 'bus', 'transportation', 'transit', 'transparency', 'transgender', 'transcoding', 'transfering', 'transffic', 'transformation', 'transaction', 'transcar', 'transmission']",mask
Seems a lot of people donât understand that the nose is part of the respiratory system. Masks need to cover mouth and NOSE!!!  #MasksSaveLives,face masks,FAVOR,face masks,"['respiratory system', 'masks', 'nose', 'face', 'biofeedback', 'biosignal', 'breath', 'bci', 'bodily', 'bose', 'bosaic', 'b']",masks
"In Home Depot, very busy, very few masks",face masks,FAVOR,face masks,['masking'],masking
"Today, Iâm stoked to have my son back after testing negative for COVID. I hate this virus with a passion (not as much as I hate trump though). It caused me such anxiety. Itâs serious folks!#WearADamnMask",face masks,FAVOR,death penalty,"['covencution', 'test collection', 'test results', 'test data collection', 'testing test results']",covencution
"An estimated 290,000 to 650,000 people die annually of flu-related causes worldwide. In 7 months, 673,833 #Covid_19 deaths have been reported so far. Sources: WHO and Johns Hopkins #WearAMask",face masks,FAVOR,school closures,"['flu', 'families', 'famfamilies']",famfamilies
"@NewstalkFM @ciarakellydoc Please,  please can we talk about the teachers and students expected to return to school in September without masks.  Absolute disaster waiting to happen.  They need to mask for the next few months od we will see clusters in schools.",face masks,FAVOR,school closures,"['schools', 'clusters', 'classrooms', 'classroom management', 'classification', 'classifying teachers', 'classifiers', 'classifier systems', 'class management', 'teacher training']",schools
"Over 20k USA Road Deaths over 6 months. safer cars, traffic laws avoid/delay death
 
Over 145k USA deaths from tested #coronavirus these 6 months.  Easy #facemask, distance, handwash, sanitize avoid/delay death 

Use Seatbelt? Babyseat? Why",face masks,FAVOR,death penalty,"['avoid/delay death', 'c coronavirus', 'safety']",avoid/delay death
Why canât people take this virus seriously and wear a damn mask? I canât comprehend the childish behaviour of some people who refuse to wear one. I just canât.,face masks,FAVOR,face masks,"['mask', 'virus', 'wizard of oz', 'wicked virus', 'waste', 'warp', 'wcet', 'wep', 'wetness', 'wob', 'wom', 'wider access', 'wlan']",mask
"@Caissie Obviously I was simply practicing my stand-up act. Please do NOT misunderstand, dear readers.

Does it feel like that?

Yeah.

Do I correctly wear the proper face protection in public?

HELL, yeah.

#WearAMask",face masks,FAVOR,face masks,"['stand-up act', 'face protection', 'amask', 'face-mounted display', 'face detection', 'face recognition', 'face authentication', 'face tracking', 'face shading', 'face design', 'face contour', 'face painting', 'face reconstruction', 'face modeling', 'face']",face
"I was talking to my 4 year old about why wearing a mask is important. She replied âBut I like my mask. I donât even mind wearing it.â 
This from a kid with sensory issues who has refused to even wear any shirts facing forward for the past 6 months. #medtwitterkids",face masks,FAVOR,face masks,"['mask', 'sensory issues', 'wearable technology', 'children', 'wearables', 'wear-forward']",mask
"@debrascornett1 I have asthma and COPD. I wear a mask just fine. The bigger issue is it steams up my glasses a little bit.

I donât believe his wife.",face masks,FAVOR,nuclear energy,['air quality'],air quality
"@chavezlinda @7eleven Why do all these middle finger pointing, non mask wearing, cough in the face people always look rabid???  #COVID19",face masks,FAVOR,face masks,"['middle finger pointing', 'non mask', 'coping in the face', 'covariate', 'crisis informatics', 'crowdsourcing', 'civic informatics']",coping in the face
"If a soldier can wear a gas mask for 24 hrs in a desert you can probably wear a piece of cloth for 40 minutes.

Wear a mask you ape

#WearAMask",face masks,FAVOR,face masks,"['gas mask', 'amask', 'gas mask design', 'gas interface', 'gas-masking', 'gas masks in the desert']",amask
"@_ReaalAmerican_ @GOP No masks , no social distancing.  Florida has enough deaths their hospitals are full why would you go there to hurt people @realDonaldTrump ?  Shame on this administration for not caring about the health of people.  Criminal negligence.   #Criminalnegligence",face masks,FAVOR,cloning,"['healthcare', 'negligence', 'medical negligence']",medical negligence
"@tcormpilas @Madworld2020 @Travisdhanraj @CPHO_Canada Ok boo keep doing your research on Insta, Youtube.  Let me guess you believe in pizzagate too? :rolling_on_the_floor_laughing: Go for a stroll in a covid ward without a mask let us know how you do Tracy.",face masks,FAVOR,school uniforms,"['pizzagate', 'tracy', 'trio', 'travisdhanraj', 'pico', 'pizzeria', 'piggy', 'paggy', 'taste', 'tate', 'trupo', 'travella', 'tria']",paggy
"@charlottechuck1 @flockofwords @wolfie_biker1 @DHSCgovuk Itâs not about me, my mask protects others",face masks,FAVOR,face masks,"['mask', 'security', 'privacy']",mask
"@SteveDeaceShow Pence is more worried about Space Force than #COVID19 and they horrors being forced on the country. 

Civil action will be our own relief.",face masks,FAVOR,death penalty,"['pence', 'space Force', 'coVID', 'crisis informatics', 'cascading', 'coupon', 'crocodile', 'covariate', 'cscw', 'cocodex', 'crowdsourcing', 'cve']",pence
"A couple days ago a guy asked me out for lunch today and then he cancelled because he was complaining about wearing a mask and I told him to get over it because it's the law. At this point, my sass is going to leave me single forever. #COVID19",face masks,FAVOR,face masks,['masking'],masking
@ync1994 Just try it. you #HoaxPanic lady; just try it. Weâll ship you to Sweden - where no one wears a mask.,face masks,FAVOR,face masks,"['mask', 'shoulder', 'hmd', 'hmm', 'hci', 'hcid', 'hpc', 'hmcid', 'sig', 'hfcid', 'shibboleth', 'hmac', 'hicid', 'hsd']",mask
"Cousin (anti mask republican): How is it possible you haven't gotten COVID-19 when you never stopped going to work 

Me: I WEAR A MASK! 

Cousin:......",face masks,FAVOR,face masks,"['anti mask republican', 'massively liberal', 'cousin anti mask republican']",anti mask republican
Do your research on the flu outbreak in 1918 and you will see that masks were worn back then and helped stop the spread #WearADamnMask #WearAMask,face masks,FAVOR,face masks,"['flu outbreak', 'masks', 'medicine', 'fashion']",masks
@Chandler_TV I will never understand the anti-mask movement.,face masks,FAVOR,face masks,"['anti-masking', 'masking']",masking
"Today I saw a woman in the car next to me driving by herself with a mask and face shield on. :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:

#why",face masks,FAVOR,face masks,['face shield'],face shield
"A :clap: GLOBAL :clap: PANDEMIC :clap: can :clap: not :clap: be :clap: eradicated :clap: in :clap: 120 :clap: days :clap:
#WearAMask",face masks,FAVOR,school closures,['clap'],clap
"@ChrisWickNews A virus is much smaller than shown.

How-ev-er, a virus needs water to survive. The virus rides on airbourne water mist from a cough. Each drop is about 150 to 800 microns. 

It would not pass through the mesh of the mask, no matter how dense your intelligence.",face masks,FAVOR,face masks,"['water', 'virus resistance', 'water quality']",virus resistance
@naijagyaldee Didnt even have his mask covering his whole mouth and then grabs it and pulls it down part way thru ... once he touches it games over it's not sterile anymore. And the beard don't help either dude!!,face masks,FAVOR,face masks,"['mask', 'beard', 'game', 'game design', 'game-playing']",mask
"Yesterday the #LAPD gave out 300 masks in Hollywood. I am embarrassed to live in this City, a place where infections, hospitalizations &amp; deaths continue to rise &amp; 300 people felt that it was ok to leave home without a masks. Itâs the City of idiots not ANGELES.",face masks,FAVOR,face masks,"['masks', 'healthcare', 'laboratory', 'medical informatics']",masks
"@JustMoi32 @cspan @SpeakerPelosi yeah... no one is going to do that perfectly.
masks don't work.
especially the cloth material jokes everyone is wearing.
#icantbreathe #NoMasks",face masks,AGAINST,face masks,"['cloth material', 'masks', 'micron', 'mashups', 'computational humor']",masks
@kindseybernhard Ya can't wear masks &amp; eat or get drunk! Geeeee...meanwhile you CAN go protest or riot and never worry about this virus.,face masks,AGAINST,face masks,"['mask', 'mapping', 'activism', 'virus', 'cyber-physical system', 'cybersafety']",mask
"If, 6 months later, you're still wearing a mask.....you might as well wear one the rest of your life.",face masks,AGAINST,face masks,"['mask', 'face']",face
@Jacob_Resnick Good on you @You_Found_Nimmo masks do not work and are just a form of control and a sign of subservience .,face masks,AGAINST,gun control,"['nimmo', 'mask', 'subservience', 'control', 'subtle', 'mapping', 'tangible', 'tui', 'taint', 'tactile', 'tatoo', 'totoo', 'mixed reality', 'tutoo', 'h']",control
@Hank_licious @realjuliasong @BMcAdory9 I've been saying that all along. If the masks work then let those that want to wear them wear them and those of us who want to be free not wear. It's a free country. Or at least it was.,face masks,AGAINST,face masks,"['masks', 'free country', 'free society', 'privacy', 'wearable computing', 'wearables', 'privilege']",masks
My wife and I were not allowed to work as they say we now have to wear a mask. When told we are exempt they said we need letter from doctor to prove it. Rang doctor's and they say they will not give us a letter or refer us privately for one. #KBF,face masks,AGAINST,face masks,"['mask', 'medical mask']",mask
"@RepTedDeutch Instead of trying to order us around, help the hospitals, help the healthcare workers, and We The People can assess the risk ourselves whether to close a business or wear a face mask. More gov destroys everything #VoteRedToSaveAmerica ",face masks,AGAINST,face masks,"['healthcare', 'face masks', 'red to red', 'redtoblue', 'red for red', 'healthcare workers', ""health workers'safety""]",face masks
"My wife &amp; I went to Walmart today. Walked right in without wearing masks, not a word was said to us! The place was packed, there was 4 buses in the parking lot that brings the local migrant workers there. Even some of them were not wearing masks. #FraudFauci",face masks,AGAINST,fauci,"['migrant workers', 'fraudfauci', 'migrants', 'migrant labor', 'mexico', 'migration', 'm-commerce', 'mixed reality', 'mafico', 'crisis informatics', 'mofico', 'hcid']",fraudfauci
We will NOT wear masks. #MasksOff,face masks,AGAINST,face masks,['masking'],masking
"@Michael_Rowan9 @ICMdoc @lyndsay_hopkins @ShippersUnbound Hot spots? Travelled through the NW &amp; no piles of bodies. It's political chicanery to keep the fear narrative. (Unreliably) test a bit more to get some extra cases, hey presto, a hot spot. The gov wants us all docile &amp; compliant ready for the saviour vaccine. #KBF",face masks,AGAINST,nuclear energy,"['politics', 'chicanery', 'virus', 'vaccine', 'wicked', 'wider access', 'wcag', 'warp', 'waste', 'willingness', 'welfare', 'wasteland', 'wil']",waste
"Anyone else find it suspect that Walmart sold masks and then announced they were requiring ""facial coverings"". Now my local store isn't selling them. Extra money for Walmart by preying on your media-induced fear. They knew masks didn't work, but they took your money.",face masks,AGAINST,face masks,"['masks', 'facial coverings', 'shopping', 'privacy', 'shoulder-mounted displays', 'shading', 'shaming', 'shaders', 'shibboleth', 'shammer', 'shills', 'sh']",masks
"@fliss1977 @dockaurG The idea is to create a new generation of even more ignorant people. Easier to control and manipulate by the fewer.
I can't believe how easy is to brainwash people. Schools need to reopen normally!",face masks,AGAINST,abortion,"['brainwash', 'misinformation', 'misconceptions', 'misogyny', 'misunderstanding', 'misuse', 'misguided', 'mis-conceptions']",mis-conceptions
"@TimRunsHisMouth Yep I was in the Lowe's garden center this afternoon with about 20 idiots just like that. I didn't wear my mask. I was just waiting for somebody to ask me....
#TuesdayMotivation",face masks,AGAINST,nuclear energy,['motivation'],motivation
"@maricopacounty When is the end date for the June 20th mask mandate? Is there one? 

#NoMaskMandates #OPENAZNOW",face masks,AGAINST,face masks,"['mask mandate', 'masking', 'mask mask', 'mask law']",mask mask
so nice finding some new mask free hangs :relieved: it's nice to be treated like a human again,face masks,AGAINST,face masks,['mask free'],mask free
The hassle and pointless wearing of masks has pushed us to online shopping with Ocado.,face masks,AGAINST,face masks,"['online shopping', 'masked characters', 'masking agents', 'mask-based interfaces', 'maskless agents', 'masks for agents', 'wearable computing']",masks for agents
"@randyhillier @mayoushtak The real only option is to stop this farse and send our kids back to school normally. I will refuse to send kids back if masks will be mandatory even just in corridors, how dumb! I hope many families would join in together!
They can wear a mask on Oct 31 for Halloween!",face masks,AGAINST,school uniforms,"['masking', 'school', 'halloween', 'privacy', 'privilege', 'privacuity', 'privately-guarded']",school
"@WeAreTheMillies Employees shouldn't have to be enforcing masks. Aggressive Karens usually harass shoppers for not wearing a mask...:grimacing:

Stores need to remove those stupid one way aisle floor markers too. Another thing to be scolded for while shopping. :face_with_rolling_eyes: #NoMasks",face masks,AGAINST,face masks,"['mask', 'shopping', 'shoppers', 'shark', 'shooter', 'shower', 'shoulder', 'shoe', 'shuffle', 'shading', 'shapley', 'shutter', 'shshapkin', 'shy', 'shamley']",mask
"@Kingdom49867884 @scratchhere Same! I have gone to my local Walmart, Grocery. CVS and Walgreens this whole time without one! I am definitely the only one most days! One time was told I need a mask but just walked past them... more ppl need to just say",face masks,AGAINST,face masks,"['mask', 'shoulder', 'wearable', 'health']",mask
"So you touch your mask taking it on and off wearing it under your chin etc etc, then touching door handles etc, and you think thatâs good @BBCNolan ps why are we talking about cases now and not deaths from, with or where #covid was mentioned on the death certificate",face masks,AGAINST,death penalty,"['mask', 'door handles', 'covid', 'death certificate', 'death']",death
"Fauci keeps flip flopping on masks, he won't be happy til everyone has a bag over our heads.",face masks,AGAINST,face masks,"['mask', 'bag of words', 'wearable', 'tangible interface', 'wear-able', 'wear it']",mask
"@WhiteHouse @realDonaldTrump ""ignoring our civil rights"" is exactly what the fascist Dems are doing, stopping civilian from moving freely, closing businesses, ordering us to stay home. all in the name of a virus with a low kill rate.  #EndDemFascism #AllLivesMatter #BLMTerrorists #EndShutDown",face masks,AGAINST,minimum wage,"['civil rights', 'fascism', 'democrat', 'civil rights law', 'civil society', 'civil justice', 'civil economy', 'civil liberties', 'civil unions', 'civil equality', 'civil workers', 'civil unrest', 'civil']",civil workers
@thehill #FauciLiedPeopleDied he changes his prognostications when it SERVES his needs. First he says Masks NOT necessary THEN they are:joy:. He SAID years ago #Hydroxychloroquine was GREAT today he says NOT. #FauciTheFraud,face masks,AGAINST,fauci,"['fauci', 'fraud', 'fault tolerance', 'flux', 'faucci', 'mechanism design']",fauci
@ananavarro @ChrisCuomo wore a mask and got Covid and infected his whole family.,face masks,AGAINST,face masks,"['mask', 'covid', 'infection', 'masked man', 'mafia', 'crisis informatics']",mask
@RepThomasMassie People are going into the hospital &amp; getting diagnosed with #COVID19 &amp; turns out they wear the same #mask every day &amp; itâs loaded with moisture &amp; #bacteria. Now turns out they actually have #LegionnairesDisease &amp; get treated with #antibiotics &amp; live.,face masks,AGAINST,cloning,"['legionnaires', 'bacteria', 'bio-molecular', 'bacterial', 'biosurgery', 'breath', 'bipartite', 'biotics', 'biotic resistance', 'bioterror']",bio-molecular
@CNN Time to revolt and remove all those wanna be dictators from power. Masks do not work.,face masks,AGAINST,Donald Trump,"['cascading dictator', 'democracy']",cascading dictator
@AN0NMissQueenie @LordBrexit Some people may get breathing problems from their cloth masks. Who knows what goes into the packs from Asia and the chemicals in them.  Breath free.,face masks,AGAINST,school uniforms,"['breath', 'clothing']",clothing
"@A_McDonald68 Can you overcome the evil playbook of dems and prevent voter fraud? 
We need you for 4 more!
Also PLEASE sign an EO banning mandatory masks!
We are tired of fighting this every time we go in public. 
#TrumpVlog ",face masks,AGAINST,face masks,"['voter fraud', 'masking', 'voter registration', 'voting fraud', ""voters'rights""]",masking
@realDonaldTrump needs to act. Fireworks cancelled. Parades cancelled. Sports cancelled. Restaurants closed. People unemployed. People forced to wear stupid masks. But protestors can march freely.,face masks,AGAINST,Donald Trump,"['trump', 'coupons', 'crisis', 'civic engagement', 'crowdsourcing', 'citizen-centered design']",trump
